number,tank,group,name,x_position,y_position,z_position,dropping_time,type,device_delay,start_station
101,101,101,Load/Unload,11200,1800,0,0,0,0.0,true
102,102,102,Storage,13100,1800,0,0,0,0.0,false
103,103,102,Storage,15000,1800,0,0,0,0.0,false
104,104,102,Storage,16900,1800,0,0,0,0.0,false
105,105,105,Ardrox 185L 30%,18800,1800,0,0,1,5.0,false
106,106,106,Ardrox 1873A,20700,1800,0,0,1,5.0,false
107,107,107,Dryer,22600,1800,0,0,0,5.0,false
108,108,108,DI-Water =Hot Rinse,24500,1801,0,0,1,5.0,false
109,109,109,Ardrox 6376,26400,1800,0,0,1,5.0,false
110,110,110,Hot Rinse,28300,1800,0,0,1,5.0,false
111,111,111,Cold Rinse,30200,1800,0,0,1,5.0,false
112,112,112,Spray Rinse,32100,1800,0,0,1,5.0,false
113,113,113,Ardrox 1435,34000,1800,0,0,1,5.0,false
114,114,113,Ardrox 1435,35900,1800,0,0,1,5.0,false
115,115,115,Adrox 1873A,37800,1800,0,0,1,5.0,false
116,116,116,Adrox 185L 30%,39700,1800,0,0,1,5.0,false
117,117,117,Adrox 185L 10% Light Duty,41600,1800,0,0,1,5.0,false
118,118,118,Adrox 6376,43500,1800,0,0,1,5.0,false
119,119,119,Spray Both,45400,1800,0,0,1,5.0,false
201,201,201,Spray booth,13100,5600,0,0,0,5.0,false
202,202,202,Ardrox 185L 10 % Light Duty,16900,5600,0,0,1,5.0,false
203,203,105,Ardrox 185L 30%,18800,5600,0,0,1,5.0,false
204,204,204,Ardrox 1435,20700,5600,0,0,1,5.0,false
205,205,109,Adrox 6376,22600,5600,0,0,0,5.0,false
206,206,206,Adrox 1218 Phosphor,24500,5600,0,0,1,5.0,false
207,207,110,Hot Rinse,26400,5600,0,0,1,5.0,false
208,208,111,Cold Rinse,28300,5600,0,0,1,5.0,false
209,209,112,Spray Rinse,30200,5600,0,0,1,5.0,false
210,210,210,Ardrox 1873A,32100,5600,0,70,1,5.0,false
211,211,206,Adrox 1218 Phosphor,34000,5600,0,0,1,5.0,false
212,212,212,Ultrasonic Cleaner,35900,5600,0,0,1,5.0,false
213,213,213,Cold Rinse,37800,5600,0,0,1,5.0,false
214,214,214,Spay Rinse,39700,5600,0,0,0,5.0,false
215,215,215,Hot Rine,41600,5600,0,0,1,5.0,false
216,216,216,Drier,43500,5600,0,0,0,5.0,false
217,217,217,Storage,45400,5600,0,0,0,0.0,false
218,218,217,Storage,47300,5600,0,0,0,0.0,false
219,219,219,Loading/Unloading,49200,5600,0,0,0,0.0,true
