Stage,MinStat,MaxStat,MinTime,MaxTime
1,104,105,00:15:00,00:30:00
2,107,209,00:00:30,00:02:00
3,106,210,00:00:30,00:02:00
4,109,109,00:15:00,00:30:00
5,107,209,00:00:30,00:02:00
6,106,210,00:00:30,00:02:00
7,108,108,00:15:00,00:30:00
8,107,209,00:00:30,00:02:00
9,106,210,00:00:30,00:02:00
10,104,105,00:15:00,00:30:00
11,107,209,00:00:30,00:02:00
12,106,210,00:00:30,00:02:00
13,99,100,00:00:10,00:15:00
14,103,103,00:00:30,00:05:00
15,101,102,00:20:00,00:30:00
16,202,202,00:00:00,00:00:00
